checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_0_3,3,0.21497524330755133,-0.001153168457155046,0.5294117647058824,5,17,prior_abs_ge_0_05,0.21612841176470637,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,5,0.5049629547527258,-0.4595404619139408,1.0,5,12,prior_abs_lt_0_005,0.9645034166666666,soh_ge_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.21168931475136382,-0.0014996852486356405,0.25,5,4,prior_abs_0_02_0_05,0.21318899999999946,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_4_7,2,0.2744997403219572,0.01481944032195709,0.3,5,10,prior_abs_ge_0_05,0.2596803000000001,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.2891205549112616,0.016531554911262514,0.0,5,1,prior_abs_0_02_0_05,0.2725889999999991,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.341827012726283,-0.1615526539403841,1.0,5,3,prior_abs_ge_0_05,0.5033796666666671,soh_0_70_0_80,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,1,0.03280162238080034,0.025568622380799627,0.0,5,1,prior_abs_0_02_0_05,0.007233000000000711,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_8_12,2,0.2381578176469208,0.008133817646920782,0.5,5,2,prior_abs_ge_0_05,0.230024,soh_0_80_0_90,c_rate_holdout_fold,delta_capacity_Ah_h
checkup_0_3,6,0.19928375944229376,0.008655830870865078,0.5714285714285714,1,14,prior_abs_ge_0_05,0.19062792857142868,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_0_3,29,0.10591179390598343,-0.001342945224451303,0.532608695652174,1,92,prior_abs_ge_0_05,0.10725473913043473,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,9,0.007424537112599856,0.004424053241632083,0.1935483870967742,1,62,prior_abs_0_005_0_02,0.0030004838709677727,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,18,0.006976999564261015,-0.0007076432928818247,0.3877551020408163,1,98,prior_abs_0_02_0_05,0.0076846428571428396,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,56,0.03838625410621003,-0.016340525223398926,0.7625698324022346,1,358,prior_abs_ge_0_05,0.054726779329608954,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,76,0.023969914688750895,-0.07433093875952496,0.896551724137931,1,232,prior_abs_lt_0_005,0.09830085344827585,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,19,0.013807065826309436,0.006081430971537664,0.25311203319502074,1,241,prior_abs_0_005_0_02,0.007725634854771772,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_13_plus,21,0.03363827710802442,0.00868562170261902,0.27702702702702703,1,148,prior_abs_0_02_0_05,0.024952655405405397,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_13_plus,18,0.10819872318264899,0.019708123182649098,0.42,1,50,prior_abs_ge_0_05,0.08849059999999989,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_13_plus,5,0.019206137735367716,0.0043459838892137195,0.46153846153846156,1,13,prior_abs_lt_0_005,0.014860153846153997,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_13_plus,18,0.006674987885943786,0.0034628015505400733,0.27639751552795033,1,322,prior_abs_0_005_0_02,0.0032121863354037123,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,14,0.008447448511712051,0.0034721001971053187,0.34831460674157305,1,89,prior_abs_0_02_0_05,0.004975348314606732,soh_0_80_0_90,condition_fold,capacity_Ah_kh
