beats_all_references,beats_k2,beats_persistence,beats_prior_slope,candidate_feature_group,candidate_mean_mae,claim_scope,gain_vs_k2,gain_vs_persistence,gain_vs_prior_slope,horizon_checkups,k2_mean_mae,persistence_mean_mae,prior_slope_mean_mae,split_name,target
False,False,True,False,K4_prior_trajectory_shape,0.08039912710668597,prospective_trajectory_diagnostic,-0.008194797737236525,0.05505968903050741,-0.0010563654451519883,2,0.07220432936944944,0.13545881613719338,0.07934276166153398,all,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.07424509115173103,prospective_trajectory_diagnostic,-0.0020407617822815888,0.06121372498546235,0.0050976705098029484,2,0.07220432936944944,0.13545881613719338,0.07934276166153398,all,delta_capacity_Ah_h
False,False,True,False,K4_prior_trajectory_shape,0.093333964958716,prospective_trajectory_diagnostic,-0.012606227484123628,0.07286071418079627,-0.00010104820010664595,3,0.08072773747459237,0.16619467913951227,0.09323291675860935,all,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.08781866849855642,prospective_trajectory_diagnostic,-0.007090931023964048,0.07837601064095585,0.005414248260052934,3,0.08072773747459237,0.16619467913951227,0.09323291675860935,all,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.12382011207740024,prospective_trajectory_diagnostic,-0.01854609585008299,0.09666140650860758,0.007695284260896634,5,0.10527401622731725,0.2204815185860078,0.13151539633829687,all,delta_capacity_Ah_h
False,False,True,True,K5_nominal_plus_trajectory_shape,0.11532848415227281,prospective_trajectory_diagnostic,-0.010054467924955568,0.105153034433735,0.016186912186024055,5,0.10527401622731725,0.2204815185860078,0.13151539633829687,all,delta_capacity_Ah_h
False,False,True,True,K4_prior_trajectory_shape,0.13639302861636315,prospective_trajectory_diagnostic,-0.023662467041492857,0.11300099686134385,0.025420818517394833,1,0.1127305615748703,0.249394025477707,0.161813847133758,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.11577779518666763,prospective_trajectory_diagnostic,-0.0030472336117973314,0.13361623029103936,0.04603605194709036,1,0.1127305615748703,0.249394025477707,0.161813847133758,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.23066998142160058,prospective_trajectory_diagnostic,-0.0469860797679047,0.2032727375866639,0.0685900433717879,2,0.18368390165369589,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,True,K5_nominal_plus_trajectory_shape,0.18030554398425572,prospective_trajectory_diagnostic,0.0033783576694401685,0.25363717502400873,0.11895448080913276,2,0.18368390165369589,0.4339427190082645,0.2992600247933885,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.24791665499791823,prospective_trajectory_diagnostic,-0.026455158434298465,0.2449347587951852,0.054688241553805944,3,0.22146149656361977,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K5_nominal_plus_trajectory_shape,0.22561378402997884,prospective_trajectory_diagnostic,-0.004152287466359067,0.2672376297631246,0.07699111252174534,3,0.22146149656361977,0.49285141379310343,0.3026048965517242,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.32159399744753414,prospective_trajectory_diagnostic,-0.028946757075368812,0.31743220255246596,0.097361842552466,5,0.29264724037216533,0.6390262000000001,0.41895584000000013,c_rate_holdout_fold,capacity_Ah_kh
True,True,True,True,K5_nominal_plus_trajectory_shape,0.28130439132358875,prospective_trajectory_diagnostic,0.011342849048576575,0.35772180867641135,0.13765144867641138,5,0.29264724037216533,0.6390262000000001,0.41895584000000013,c_rate_holdout_fold,capacity_Ah_kh
False,False,True,True,K4_prior_trajectory_shape,0.13405073323598693,prospective_trajectory_diagnostic,-0.02342423915436305,0.11534329224172007,0.027763113897771058,1,0.11062649408162388,0.249394025477707,0.161813847133758,c_rate_holdout_fold,delta_capacity_Ah_h
