artifact,split_name,target,horizon_checkups,model_level,feature_group,retention_fraction,rows_retained,conditions_retained,positive_count,negative_count,brier,ece_10_bin,mean_support_score,median_nearest_distance,claim_scope
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W1_state_time,0.9,142,12,60,82,0.35261284775622215,0.347247410745176,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W1_state_time,0.75,118,11,57,61,0.40084106250284324,0.41133760372854483,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W1_state_time,0.5,79,9,42,37,0.4447561536145224,0.46456433302040817,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W1_state_time,0.25,40,6,30,10,0.6061894950716675,0.6685559437515403,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W2_nominal,1.0,157,12,64,93,0.22063695689695237,0.16935247291699798,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W2_nominal,0.9,142,12,60,82,0.222148367869569,0.17510027662261846,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W2_nominal,0.75,118,11,57,61,0.22980525500955165,0.15256675318091642,0.5988023952095808,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W2_nominal,0.5,79,9,42,37,0.21375447208712003,0.13429831524887684,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B4_logistic_regression,W2_nominal,0.25,40,6,30,10,0.1772430482613561,0.12599876762391676,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
threshold_warning,c_rate_holdout_fold,event_within_2_checkups,2,B5_ridge_logistic,W0_capacity_state,1.0,157,12,64,93,0.3630678947669345,0.38797488224212046,0.5988023952095809,0.6699999999999999,prospective_threshold_warning_diagnostic
