split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
temperature_holdout_fold,0,47,cyclic,25.0,approx_10_100,1.0,1.0,0,38,0,0,0.375,59,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,48,cyclic,25.0,approx_10_100,1.67,1.0,0,38,0,0,0.375,60,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,49,cyclic,25.0,approx_10_90,0.33,0.33,0,38,0,0,0.375,61,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,50,cyclic,25.0,approx_10_90,0.33,1.0,0,38,0,0,0.375,62,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,51,cyclic,25.0,approx_10_90,1.0,1.0,0,38,0,0,0.375,63,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,0,52,cyclic,25.0,approx_10_90,1.67,1.0,0,38,0,0,0.375,64,0.7272727272727273,train_only_support_diagnostic
temperature_holdout_fold,2,53,cyclic,40.0,approx_0_100,0.33,0.33,0,57,0,0,0.6,41,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,54,cyclic,40.0,approx_0_100,0.33,1.0,0,57,0,0,0.6,42,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,55,cyclic,40.0,approx_0_100,1.0,1.0,0,57,0,0,0.6,43,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,56,cyclic,40.0,approx_0_100,1.67,1.0,0,57,0,0,0.6,44,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,57,cyclic,40.0,approx_10_100,0.33,0.33,0,57,0,0,0.6,45,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,58,cyclic,40.0,approx_10_100,0.33,1.0,0,57,0,0,0.6,46,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,59,cyclic,40.0,approx_10_100,1.0,1.0,0,57,0,0,0.6,47,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,60,cyclic,40.0,approx_10_100,1.67,1.0,0,57,0,0,0.6,48,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,61,cyclic,40.0,approx_10_90,0.33,0.33,0,57,0,0,0.6,49,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,62,cyclic,40.0,approx_10_90,0.33,1.0,0,57,0,0,0.6,50,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,63,cyclic,40.0,approx_10_90,1.0,1.0,0,57,0,0,0.6,51,0.625,train_only_support_diagnostic
temperature_holdout_fold,2,64,cyclic,40.0,approx_10_90,1.67,1.0,0,57,0,0,0.6,52,0.625,train_only_support_diagnostic
temperature_holdout_fold,1,65,profile,0.0,approx_0_100,0.0,0.0,2,57,0,0,0.3333333333333333,68,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,66,profile,0.0,approx_0_100,0.0,0.0,3,57,0,0,0.3333333333333333,69,0.75,train_only_support_diagnostic
temperature_holdout_fold,1,67,profile,0.0,approx_0_100,0.0,0.0,4,57,0,0,0.3333333333333333,70,0.75,train_only_support_diagnostic
temperature_holdout_fold,0,68,profile,10.0,approx_0_100,0.0,0.0,2,38,0,0,0.25,65,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,69,profile,10.0,approx_0_100,0.0,0.0,3,38,0,0,0.25,66,0.8,train_only_support_diagnostic
temperature_holdout_fold,0,70,profile,10.0,approx_0_100,0.0,0.0,4,38,0,0,0.25,67,0.8,train_only_support_diagnostic
