cell_id,checkup_k,checkup_k_next,duration_delta_h,event_count,event_duration_h,interval_duration_h,max_gap_s,parameter_set,replicate_id
P071_2,0,1,112.85111111109185,30853,281.02111111109184,168.17,30.0,71,2
P071_2,1,2,322.8649999998651,100128,824.1561111109762,501.2911111111111,30.0,71,2
P071_2,2,3,293.3508333331616,120173,797.9872222220505,504.6363888888889,30.0,71,2
P071_2,3,4,295.1427777776037,118718,797.4427777776037,502.3,30.0,71,2
P071_2,4,5,287.7952777776031,124126,790.2994444442697,502.50416666666666,30.0,71,2
P071_2,5,6,288.2205555553826,122976,793.9366666664937,505.7161111111111,30.0,71,2
P071_2,6,7,288.4866666664909,124582,792.8383333331576,504.3516666666667,30.0,71,2
P071_2,7,8,286.53638888871603,125351,789.9455555553827,503.4091666666667,30.0,71,2
P071_2,8,9,285.79138888871734,125421,789.7366666664951,503.9452777777778,30.0,71,2
P071_2,9,10,288.47111111093415,124965,792.9266666664897,504.4555555555556,30.0,71,2
P071_2,10,11,288.9630555553745,123958,791.0705555553745,502.1075,30.0,71,2
P071_2,11,12,296.18694444426995,119714,804.8872222220477,508.7002777777778,30.0,71,2
P071_2,12,13,283.40694444426873,125541,783.3655555553798,499.9586111111111,30.0,71,2
P071_2,13,14,284.43694444426603,127235,787.0633333331549,502.62638888888887,30.0,71,2
P071_2,14,15,284.73805555537103,127952,788.0488888887044,503.31083333333333,30.0,71,2
P071_2,15,16,283.87333333314996,128916,809.6472222220389,525.7738888888889,30.0,71,2
P071_2,16,17,271.73222222205385,123483,754.4338888887205,482.70166666666665,30.0,71,2
P071_2,17,18,283.8641666664855,128897,789.6205555553744,505.75638888888886,30.0,71,2
P071_2,18,19,284.7016666664877,128087,788.4999999998211,503.79833333333335,30.0,71,2
P071_2,19,20,283.9869444442624,128961,786.7377777775957,502.75083333333333,30.0,71,2
P071_2,20,21,288.771944444271,124360,792.404444444271,503.6325,30.0,71,2
P071_2,21,22,292.1816666664838,128752,805.7372222220393,513.5555555555555,30.0,71,2
P071_2,22,23,286.75944444426904,127062,797.6066666664913,510.84722222222223,30.0,71,2
P071_2,23,24,282.1072222220503,125558,778.7922222220503,496.685,30.0,71,2
P071_2,24,25,285.67555555537973,126904,790.1016666664908,504.4261111111111,30.0,71,2
P071_2,25,26,285.61916666648926,126598,789.6711111109337,504.0519444444444,30.0,71,2
P071_2,26,27,284.91499999981954,127843,787.4505555553751,502.53555555555556,30.0,71,2
P071_2,27,28,544.9963888894619,245048,1544.3205555561285,999.3241666666667,30.0,71,2
P071_3,0,1,112.90944444442647,30137,281.6866666666487,168.77722222222224,30.0,71,3
P071_3,1,2,317.3766666665294,103821,817.4416666665294,500.065,30.0,71,3
P071_3,2,3,294.4722222220475,120888,801.0883333331586,506.61611111111114,30.0,71,3
P071_3,3,4,298.30249999982914,115950,798.9594444442736,500.65694444444443,30.0,71,3
P071_3,4,5,291.44138888871333,121565,796.82555555538,505.38416666666666,30.0,71,3
P071_3,5,6,289.8747222220491,122011,793.5477777776047,503.67305555555555,30.0,71,3
P071_3,6,7,288.29694444426934,123585,792.1583333331582,503.8613888888889,30.0,71,3
P071_3,7,8,287.29111111093687,124648,791.0311111109369,503.74,30.0,71,3
P071_3,8,9,286.27666666649264,125428,790.2283333331593,503.95166666666665,30.0,71,3
P071_3,9,10,288.0699999998231,125378,792.2027777776009,504.1327777777778,30.0,71,3
P071_3,10,11,289.46583333315886,123696,791.93444444427,502.4686111111111,30.0,71,3
P071_3,11,12,297.56472222205207,118922,806.3905555553854,508.8258333333333,30.0,71,3
P071_3,12,13,283.6372222220524,124362,783.1149999998302,499.47777777777776,30.0,71,3
P071_3,13,14,284.48388888871034,125870,787.2961111109325,502.8122222222222,30.0,71,3
P071_3,14,15,285.01611111093416,126271,788.3272222220453,503.31111111111113,30.0,71,3
P071_3,15,16,284.7924999998222,126740,810.5638888887111,525.7713888888889,30.0,71,3
P071_3,16,17,272.31833333316746,121078,754.8277777776119,482.50944444444445,30.0,71,3
P071_3,17,18,286.5608333331552,126286,792.3433333331552,505.7825,30.0,71,3
P071_3,18,19,285.9555555553805,125834,789.9105555553805,503.955,30.0,71,3
P071_3,19,20,285.16305555537707,126077,788.5961111109326,503.43305555555554,30.0,71,3
P071_3,20,21,287.2497222220511,124781,789.0322222220511,501.7825,30.0,71,3
P071_3,21,22,288.8499999998169,129044,801.9316666664836,513.0816666666667,30.0,71,3
P071_3,22,23,286.0666666664945,125523,798.2433333331611,512.1766666666666,30.0,71,3
P071_3,23,24,282.20722222205376,123812,778.7299999998315,496.5227777777778,30.0,71,3
P071_3,24,25,286.06694444427285,125187,790.9827777776062,504.91583333333335,30.0,71,3
P071_3,25,26,286.2941666664939,125549,790.2111111109383,503.9169444444444,30.0,71,3
P071_3,26,27,286.3444444442686,125697,789.4194444442686,503.075,30.0,71,3
P071_3,27,28,545.8819444450052,242141,1542.808333333894,996.9263888888889,30.0,71,3
P072_1,0,1,113.9574999999806,29900,283.2616666666473,169.30416666666667,30.0,72,1
P072_1,1,2,317.54305555541674,104146,816.947777777639,499.40472222222223,30.0,72,1
P072_1,2,3,293.18583333316195,121259,797.4649999998286,504.27916666666664,30.0,72,1
P072_1,3,4,298.80944444427723,117013,801.547222222055,502.73777777777775,30.0,72,1
P072_1,4,5,290.4491666665002,122804,794.5788888887224,504.1297222222222,30.0,72,1
P072_1,5,6,289.1180555553827,123570,792.4161111109382,503.29805555555555,30.0,72,1
P072_1,6,7,290.21888888871695,124512,795.8166666664947,505.59777777777776,30.0,72,1
P072_1,7,8,290.00749999982605,124828,794.0216666664927,504.01416666666665,30.0,72,1
P072_1,8,9,288.1961111109336,125406,791.8238888887114,503.6277777777778,30.0,72,1
P072_1,9,10,289.0594444442708,125342,792.1649999998264,503.10555555555555,30.0,72,1
P072_1,10,11,290.07777777760015,124194,793.0127777776001,502.935,30.0,72,1
P072_1,11,12,298.4511111109416,118896,807.4361111109416,508.985,30.0,72,1
