attribution_arm_id,feature_group,inner_validation_rows,max_inner_train_validation_overlap_count,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,outer_test_condition_count,outer_train_condition_count,outer_train_test_overlap_count,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.18187022450443516,0.06631163538285836,-0.0004087346561612774,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.13227895916059643,delta_capacity_Ah,0.5
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.10477017688055258,0.06537248990331322,0.00053041082338387,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.05423976605716871,delta_capacity_Ah,0.75
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.20592254252340175,0.06635898103375083,-0.00045608030705374494,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.1563786228304555,delta_capacity_Ah,1.0
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.210395037018611,0.08331400069829223,0.0008856253925994095,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.15950941162601162,delta_capacity_Ah,0.25
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.188324678750412,0.08423320931589047,-3.358322499883103e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.13835826197541082,delta_capacity_Ah,0.5
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.14784586106757897,0.08375297380734359,0.00044665228354805723,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.09739920878403091,delta_capacity_Ah,0.75
D3_adaptive_R2_F8_conservative,F8_timestamp_weighted_stress,11,0,0.11297882047747192,0.08284480215876516,0.001354823932126486,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.06162399654534543,delta_capacity_Ah,1.0
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.08836437557166854,0.08073002396026567,0.00015324363984760408,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,True,conservative_guarded,-0.038211131931820935,capacity_Ah_k1,0.25
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.10773118671315998,0.07939873876995679,0.0014845288301564808,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.056246657883003495,capacity_Ah_k1,0.5
D2_adaptive_R2_F4_conservative,F4_state_log_age_scalar,11,0,0.11851136431050596,0.07983024260931547,0.0010530249907977913,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,condition_fold,15,61,0,False,gate57.stressor_robust_attribution.v1,False,conservative_guarded,-0.06745833931970817,capacity_Ah_k1,0.75
