target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,f4_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,voltage_window_holdout_fold,1,31,C_P2_log_age_pulse,0.11682376933561082,0.1181788929894488,-0.0013551236538379696,6,10.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,32,C_P2_log_age_pulse,0.26476443443333425,0.24949367010781628,0.015270764325517966,6,10.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,41,C_P2_log_age_pulse,0.11055009738411606,0.1412528043076596,-0.030702706923543543,56,25.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,42,C_P2_log_age_pulse,0.11896153132660203,0.15204921232975613,-0.033087681003154096,49,25.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,43,C_P2_log_age_pulse,0.12898124494573607,0.12776468719301945,0.0012165577527166183,12,25.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,44,C_P2_log_age_pulse,0.16578239004351839,0.16479327972098967,0.0009891103225287134,6,25.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,53,C_P2_log_age_pulse,0.12028182886531495,0.12934343571751328,-0.009061606852198326,44,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,54,C_P2_log_age_pulse,0.10881041479208699,0.12259101660226132,-0.013780601810174334,46,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,55,C_P2_log_age_pulse,0.10683402364016463,0.10335028284789857,0.0034837407922660574,22,40.0,approx_0_100,1.0,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,56,C_P2_log_age_pulse,0.10020434269722937,0.09827943744298333,0.0019249052542460454,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,voltage_window_holdout_fold,1,65,C_P2_log_age_pulse,0.14900858847549814,0.15508313386644823,-0.006074545390950092,55,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,voltage_window_holdout_fold,1,66,C_P2_log_age_pulse,0.06703049045548659,0.07565110037464913,-0.008620609919162539,84,0.0,approx_0_100,0.0,profile
