target,split_name,model_level,feature_group,parameter_set,n_predictions,model_mae,model_median_abs_error,mean_replicate_spread,model_mae_minus_replicate_spread,model_error_exceeds_spread
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,31,6,0.021449436436197455,0.017649361427126475,0.043637499999999996,-0.02218806356380254,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,32,6,0.238566772897117,0.23422136240702862,0.025018499999999944,0.21354827289711706,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,33,67,0.02353090031477905,0.010548367440660567,0.034101805970149224,-0.010570905655370173,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,34,44,0.027461112255663,0.0163987452937584,0.018753363636363672,0.008707748619299328,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,35,11,0.09593202631290156,0.033438048031032785,0.11027272727272716,-0.014340700959825606,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,36,6,0.35401426642213435,0.3535223826817433,0.052907999999999955,0.3011062664221344,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,37,84,0.012326235534136355,0.006585660284745387,0.02811535714285719,-0.015789121608720834,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,38,60,0.026955709414631195,0.011505562951383164,0.11060518333333332,-0.08364947391870212,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,39,21,0.07838276382909488,0.02746116060810433,0.13595671428571432,-0.057573950456619435,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,40,15,0.08533915500761963,0.058518179479778,0.26770559999999993,-0.1823664449923803,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,41,56,0.058073122610472774,0.040773726580859315,0.06707885714285712,-0.009005734532384346,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,42,49,0.10959149130225432,0.0936658583942731,0.08096571428571432,0.028625777016539997,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,43,12,0.08868050143453005,0.05661856730861259,0.09106349999999996,-0.002382998565469918,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,44,6,0.10458886439075792,0.07186049396178662,0.184701,-0.08011213560924209,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,45,84,0.012290486192906392,0.009289215488984759,0.030661607142857168,-0.018371120949950775,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,46,84,0.02896029464908212,0.010228285862496467,0.09106778571428571,-0.06210749106520359,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,47,31,0.049637724871787366,0.017946681103913065,0.10458309677419352,-0.05494537190240615,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,48,10,0.06645494003356203,0.03142717788195748,0.08195099999999997,-0.015496059966437936,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,49,84,0.01189331466011417,0.008722067252679988,0.034580571428571454,-0.022687256768457283,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,50,84,0.00909448822274226,0.008147370414766542,0.015056464285714293,-0.005961976062972033,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,51,63,0.023937911225408254,0.009374464972638386,0.08766080952380956,-0.0637228982984013,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,52,28,0.05076656064045871,0.01744604036200892,0.30563214285714285,-0.25486558221668415,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,53,44,0.06661104833539855,0.04025536141123154,0.054619227272727215,0.011991821062671333,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,54,46,0.10287972764416262,0.07481929522713338,0.0975688043478261,0.00531092329633652,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,55,22,0.09901909377699848,0.04867322493485382,0.10430604545454546,-0.005286951677546975,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,56,13,0.11954760374859355,0.04170547950851633,0.12802292307692303,-0.008475319328329484,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,57,36,0.08013526948097399,0.013402644150732224,0.032190083333333286,0.047945186147640706,True
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,58,38,0.06172232587654681,0.010371339044274785,0.12262815789473692,-0.060905832018190116,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,59,19,0.14147949746064784,0.02463602277103405,0.18072063157894727,-0.03924113411829944,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,60,16,0.15325311363829483,0.012181795736963208,0.2783338125,-0.12508069886170517,False
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F1_state_time,61,84,0.00890503044720973,0.006373572046846743,0.012511428571428618,-0.003606398124218887,False
