parameter_set,checkup_k_next,target,tolerance_low,tolerance_high,replicate_spread,n_replicates
5,1,capacity_Ah_k1,2.930613,2.940519,0.00990599999999997,3
5,1,delta_capacity_Ah,-0.005347999999999686,-0.002650999999999737,0.0026969999999999494,3
5,2,capacity_Ah_k1,2.920782,2.929893,0.00911099999999987,3
5,2,delta_capacity_Ah,-0.010820000000000274,-0.009831000000000145,0.0009890000000001287,3
5,3,capacity_Ah_k1,2.907376,2.916003,0.008626999999999718,3
5,3,delta_capacity_Ah,-0.013889999999999958,-0.012798999999999783,0.0010910000000001752,3
5,4,capacity_Ah_k1,2.891922,2.900846,0.008923999999999932,3
5,4,delta_capacity_Ah,-0.015454000000000079,-0.01477200000000023,0.0006819999999998494,3
5,5,capacity_Ah_k1,2.879834,2.888441,0.008607000000000031,3
5,5,delta_capacity_Ah,-0.012405000000000221,-0.011432999999999804,0.000972000000000417,3
5,6,capacity_Ah_k1,2.867377,2.875699,0.008322000000000163,3
5,6,delta_capacity_Ah,-0.012741999999999809,-0.01206800000000019,0.0006739999999996193,3
5,7,capacity_Ah_k1,2.857194,2.864959,0.007765000000000022,3
5,7,delta_capacity_Ah,-0.010740000000000194,-0.009592000000000045,0.001148000000000149,3
5,8,capacity_Ah_k1,2.84629,2.854637,0.00834699999999966,3
5,8,delta_capacity_Ah,-0.01090399999999958,-0.01004499999999986,0.0008589999999997211,3
5,9,capacity_Ah_k1,2.837896,2.846445,0.008548999999999918,3
5,9,delta_capacity_Ah,-0.009297999999999806,-0.008135999999999921,0.0011619999999998853,3
5,10,capacity_Ah_k1,2.828527,2.837282,0.00875500000000029,3
5,10,delta_capacity_Ah,-0.009369000000000405,-0.00905900000000015,0.0003100000000002545,3
5,11,capacity_Ah_k1,2.820208,2.82953,0.009322000000000052,3
5,11,delta_capacity_Ah,-0.008318999999999743,-0.007751999999999981,0.0005669999999997621,3
5,12,capacity_Ah_k1,2.812242,2.821653,0.009411000000000058,3
5,12,delta_capacity_Ah,-0.00796600000000014,-0.00781799999999988,0.00014800000000025904,3
5,13,capacity_Ah_k1,2.8053,2.814374,0.009074000000000026,3
5,13,delta_capacity_Ah,-0.0072790000000000354,-0.006942000000000004,0.0003370000000000317,3
5,14,capacity_Ah_k1,2.798771,2.808051,0.009279999999999955,3
5,14,delta_capacity_Ah,-0.007165000000000088,-0.0063230000000000786,0.0008420000000000094,3
5,15,capacity_Ah_k1,2.792509,2.802458,0.009949000000000208,3
5,15,delta_capacity_Ah,-0.006404999999999994,-0.005592999999999737,0.000812000000000257,3
5,16,capacity_Ah_k1,2.785918,2.796189,0.010270999999999919,3
5,16,delta_capacity_Ah,-0.0065909999999997915,-0.006184999999999885,0.00040599999999990644,3
5,17,capacity_Ah_k1,2.779355,2.789302,0.009947000000000372,3
5,17,delta_capacity_Ah,-0.0068869999999998655,-0.0065430000000001876,0.0003439999999996779,3
5,18,capacity_Ah_k1,2.774252,2.784166,0.009913999999999756,3
5,18,delta_capacity_Ah,-0.0051360000000002515,-0.004973999999999812,0.00016200000000043957,3
5,19,capacity_Ah_k1,2.768552,2.778681,0.010129000000000055,3
5,19,delta_capacity_Ah,-0.005700000000000038,-0.00548499999999974,0.00021500000000029829,3
5,20,capacity_Ah_k1,2.763834,2.773762,0.009927999999999937,3
5,20,delta_capacity_Ah,-0.005323000000000189,-0.004718,0.0006050000000001887,3
5,21,capacity_Ah_k1,2.758607,2.768451,0.009844000000000186,3
5,21,delta_capacity_Ah,-0.005310999999999844,-0.004935999999999829,0.0003750000000000142,3
5,22,capacity_Ah_k1,2.753613,2.763186,0.009573000000000054,3
5,22,delta_capacity_Ah,-0.005265000000000075,-0.004166000000000114,0.0010989999999999611,3
5,23,capacity_Ah_k1,2.748269,2.760693,0.012423999999999769,3
5,23,delta_capacity_Ah,-0.005344000000000015,-0.0024930000000003005,0.002850999999999715,3
5,24,capacity_Ah_k1,2.745269,2.756598,0.011328999999999922,3
