diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,1,1,0.15615049667490533,6.044149674165188e-05,0.15615049667490533,6.044149674165188e-05,0.15615049667490533,1,1,prior_same_diagnostic,1,all,eis_z_abs_1kHz
eis,1,1,0.2485696010022228,0.00025029497491659296,0.2485696010022228,0.00025029497491659296,0.2485696010022228,1,1,capacity_state,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.4128363428895337,0.0005319999985691635,0.4128363428895337,0.0005319999985691635,0.4128363428895337,1,1,persistence,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.12499565644836158,0.00010808802677135011,0.12499565644836158,0.00010808802677135011,0.12499565644836158,1,1,prior_same_diagnostic,1,c_rate_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.6251388940323508,0.0004289713352183331,0.6251388940323508,0.0004289713352183331,0.6251388940323508,1,1,capacity_state,1,condition_fold,eis_z_abs_1kHz
eis,1,1,0.31183127898356866,0.00011655928689497899,0.31183127898356866,0.00011655928689497899,0.31183127898356866,1,1,persistence,1,condition_fold,eis_z_abs_1kHz
eis,1,1,0.14338328728045913,4.305604402505251e-05,0.14338328728045913,4.305604402505251e-05,0.14338328728045913,1,1,prior_same_diagnostic,1,condition_fold,eis_z_abs_1kHz
eis,1,1,0.6891721854700122,0.0005265561222512973,0.6891721854700122,0.0005265561222512973,0.6891721854700122,1,1,capacity_state,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.26374684054159175,8.507400817229439e-05,0.26374684054159175,8.507400817229439e-05,0.26374684054159175,1,1,persistence,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.34620954481310234,0.00012575847469923515,0.34620954481310234,0.00012575847469923515,0.34620954481310234,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.5499055554753226,0.00039877654286892575,0.5499055554753226,0.00039877654286892575,0.5499055554753226,1,1,capacity_state,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.23772315561810853,0.00010178971735952841,0.23772315561810853,0.00010178971735952841,0.23772315561810853,1,1,persistence,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.12706455429898483,4.75102634110161e-05,0.12706455429898483,4.75102634110161e-05,0.12706455429898483,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.633975051593195,0.0005695521646040765,0.633975051593195,0.0005695521646040765,0.633975051593195,1,1,capacity_state,1,voltage_window_holdout_fold,eis_z_abs_1kHz
eis,1,1,0.10817809833744796,3.988717110158321e-05,0.10817809833744796,3.988717110158321e-05,0.10817809833744796,1,1,persistence,1,voltage_window_holdout_fold,eis_z_abs_1kHz
