beats_reference,candidate_feature_group,candidate_mean_mae,candidate_model_level,diagnostic_family,gain,horizon_checkups,reference_feature_group,reference_mean_mae,reference_model_level,reference_name,relative_gain,split_name,target_name
True,DH3_capacity_plus_prior_same_diagnostic,0.000798127706479736,DM3_hist_gradient_boosting,pulse,0.0003348241903904588,1,DH1_capacity_state,0.0011329518968701947,DM3_hist_gradient_boosting,capacity_state,0.2955325740796394,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.000798127706479736,DM3_hist_gradient_boosting,pulse,0.0002970320383066143,1,persistence,0.0010951597447863503,DM0_persistence,persistence,0.271222567959308,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.000798127706479736,DM3_hist_gradient_boosting,pulse,0.00013051783749183253,1,DH2_prior_same_diagnostic_state,0.0009286455439715685,DM3_hist_gradient_boosting,prior_same_diagnostic,0.14054645320715442,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011133673191510334,DM3_hist_gradient_boosting,pulse,0.00031061364448486755,2,DH1_capacity_state,0.001423980963635901,DM3_hist_gradient_boosting,capacity_state,0.2181304753483268,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011133673191510334,DM3_hist_gradient_boosting,pulse,0.0005633643248436173,2,persistence,0.0016767316439946507,DM0_persistence,persistence,0.3359895585327276,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0011133673191510334,DM3_hist_gradient_boosting,pulse,8.127073417464885e-05,2,DH2_prior_same_diagnostic_state,0.0011946380533256822,DM3_hist_gradient_boosting,prior_same_diagnostic,0.0680295876633128,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0012367443221674012,DM3_hist_gradient_boosting,pulse,0.0004168803903369508,3,DH1_capacity_state,0.001653624712504352,DM3_hist_gradient_boosting,capacity_state,0.2521009677616642,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0012367443221674012,DM3_hist_gradient_boosting,pulse,0.0007751220352023734,3,persistence,0.0020118663573697746,DM0_persistence,persistence,0.38527511152168864,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0012367443221674012,DM3_hist_gradient_boosting,pulse,0.0001533712973026209,3,DH2_prior_same_diagnostic_state,0.001390115619470022,DM3_hist_gradient_boosting,prior_same_diagnostic,0.11032988562569587,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0017637534472416249,DM3_hist_gradient_boosting,pulse,0.00037726422839432926,5,DH1_capacity_state,0.002141017675635954,DM3_hist_gradient_boosting,capacity_state,0.17620789995686006,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0017637534472416249,DM3_hist_gradient_boosting,pulse,0.0009742106809388477,5,persistence,0.0027379641281804726,DM0_persistence,persistence,0.3558157212184749,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.0017637534472416249,DM3_hist_gradient_boosting,pulse,0.00014671866150487724,5,DH2_prior_same_diagnostic_state,0.0019104721087465021,DM3_hist_gradient_boosting,prior_same_diagnostic,0.0767970706471827,all,pulse_1s_resistance
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,0.03233560400730562,1,DH1_capacity_state,0.4188814583614152,DM3_hist_gradient_boosting,capacity_state,0.07719511895751215,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,0.0702428448589068,1,persistence,0.4567886992130164,DM0_persistence,persistence,0.15377535604520315,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.3865458543541096,DM3_hist_gradient_boosting,eis,0.0016913928452041427,1,DH2_prior_same_diagnostic_state,0.38823724719931374,DM3_hist_gradient_boosting,prior_same_diagnostic,0.004356596018042064,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,0.026109089253217088,2,DH1_capacity_state,0.45128007115849944,DM3_hist_gradient_boosting,capacity_state,0.0578556220889422,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,0.11619109657752902,2,persistence,0.5413620784828114,DM0_persistence,persistence,0.2146273283550986,c_rate_holdout_fold,eis_phase_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.42517098190528235,DM3_hist_gradient_boosting,eis,-0.020295266061640338,2,DH2_prior_same_diagnostic_state,0.404875715843642,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.0501271507957719,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,0.04609473844677203,3,DH1_capacity_state,0.4438891984172972,DM3_hist_gradient_boosting,capacity_state,0.10384289280100636,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,0.08993509393282062,3,persistence,0.48772955390334577,DM0_persistence,persistence,0.18439541588788613,c_rate_holdout_fold,eis_phase_1kHz
False,DH3_capacity_plus_prior_same_diagnostic,0.39779445997052515,DM3_hist_gradient_boosting,eis,-6.106924522797375e-05,3,DH2_prior_same_diagnostic_state,0.3977333907252972,DM3_hist_gradient_boosting,prior_same_diagnostic,-0.0001535431689972253,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.36813902871239396,DM3_hist_gradient_boosting,eis,0.08151966973498354,5,DH1_capacity_state,0.4496586984473775,DM3_hist_gradient_boosting,capacity_state,0.1812923224135596,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.36813902871239396,DM3_hist_gradient_boosting,eis,0.07956097128760609,5,persistence,0.44770000000000004,DM0_persistence,persistence,0.17771045630468188,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.36813902871239396,DM3_hist_gradient_boosting,eis,0.05569126212439579,5,DH2_prior_same_diagnostic_state,0.42383029083678975,DM3_hist_gradient_boosting,prior_same_diagnostic,0.13139991012544594,c_rate_holdout_fold,eis_phase_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.0007566462355428257,DM3_hist_gradient_boosting,eis,0.00025029497491659296,1,DH1_capacity_state,0.0010069412104594187,DM3_hist_gradient_boosting,capacity_state,0.2485696010022228,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.0007566462355428257,DM3_hist_gradient_boosting,eis,0.0005319999985691635,1,persistence,0.0012886462341119892,DM0_persistence,persistence,0.4128363428895337,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.0007566462355428257,DM3_hist_gradient_boosting,eis,0.00010808802677135011,1,DH2_prior_same_diagnostic_state,0.0008647342623141758,DM3_hist_gradient_boosting,prior_same_diagnostic,0.12499565644836158,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.0013999794140984298,DM3_hist_gradient_boosting,eis,0.00010309733866093991,2,DH1_capacity_state,0.0015030767527593697,DM3_hist_gradient_boosting,capacity_state,0.06859086767969257,c_rate_holdout_fold,eis_z_abs_1kHz
True,DH3_capacity_plus_prior_same_diagnostic,0.0013999794140984298,DM3_hist_gradient_boosting,eis,0.0007419416385331492,2,persistence,0.002141921052631579,DM0_persistence,persistence,0.3463907493796723,c_rate_holdout_fold,eis_z_abs_1kHz
