target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.26432689115294183,0.26566615256608256,0.26432689115294183,0.26870522355078974,-0.48400216666666673,-0.2196752755137249,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F10_c_rate_v1_1,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.2641033194613269,0.2719503050582499,0.2641033194613269,0.2617979733525412,-0.5564216666666667,-0.2923183472053398,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.26341393431249455,0.26360664535794076,0.26341393431249455,0.26138846356487344,-0.48400216666666673,-0.22058823235417216,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.26110281204035674,0.2662046233251593,0.26110281204035674,0.2491659559147399,2.2150708333333333,2.4761736453736902,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.2575186569598567,0.26540489837135794,0.2575186569598567,0.23703549869168916,2.2150708333333333,2.47258949029319,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F6_coupled_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.2568744753749343,0.32293379640784114,0.2568744753749343,0.23791463755890052,2.2871866666666665,2.544061142041601,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.2539914861259202,0.32224365404266325,0.2539914861259202,0.238545329650947,2.2871866666666665,2.541178152792587,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,44,cyclic,25.0,approx_0_100,1.67,1.0,0,6,3,0.2527966249625434,0.31897447624783815,0.2527966249625434,0.16859377765774997,-0.4149285,-0.16213187503745655,0.5988023952095809,0.6699999999999999,43,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F9_event_segmented_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.2514715896524982,0.2862068274157758,0.2514715896524982,0.26086577862697535,-0.5564216666666667,-0.3049500770141685,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,20,cyclic,0.0,approx_0_100,1.67,1.0,0,6,3,0.25036074752021636,0.25163504376002704,0.25036074752021636,0.2515093265864655,-0.48400216666666673,-0.2336414191464504,0.5988023952095809,0.6699999999999999,19,0,0,condition_error_hotspot_diagnostic
