target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,prior_pulse_source_report,best_nonpulse_feature_group,best_nonpulse_source_report,best_nonpulse_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,condition_fold,4,53,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.060379528694900424,0.05759548573358744,0.002784042961312981,44,40.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,4,64,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.054019119410013645,0.053206943151791995,0.0008121762582216502,38,40.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,4,69,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.019643654786160786,0.014941117393738653,0.004702537392422133,84,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,65,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.10429378254808666,0.10103078247999035,0.0032630000680963084,55,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,66,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.050319064199822475,0.04968242021858627,0.0006366439812362026,84,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,67,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.11502951901609987,0.12639860899981542,-0.011369089983715552,15,0.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,68,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.06533604731245503,0.06788872884492524,-0.002552681532470208,78,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,69,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.037811099775196866,0.03407664164732605,0.003734458127870814,84,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,70,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.13545936324349583,0.134486257049371,0.0009731061941248287,18,10.0,approx_0_100,0.0,profile
capacity_Ah_k1,profile_holdout_fold,1,71,C_P0_state_time_pulse,capacity_with_prior_pulse_hgb50_report.json,F1_state_time,capacity_hgb50_focused_report.json,0.020349734930423163,0.0196456477316665,0.000704087198756663,84,25.0,approx_0_100,0.0,profile
