target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,semi_empirical_feature_group,semi_empirical_source_report,reference_feature_group,reference_source_report,reference_condition_mae,semi_empirical_condition_mae,reference
capacity_Ah_k1,condition_fold,4,45,-0.017312678691841395,84,25.0,approx_10_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.019154078667045035,0.03646675735888643,hgb_f4
capacity_Ah_k1,condition_fold,4,47,-0.01799317515566875,31,25.0,approx_10_100,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.05602054542705274,0.07401372058272149,hgb_f4
capacity_Ah_k1,condition_fold,4,51,-0.002908436773763415,63,25.0,approx_10_90,1.0,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.03424425628660133,0.03715269306036474,hgb_f4
capacity_Ah_k1,condition_fold,4,52,-0.08876392356765551,28,25.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.061486069189090234,0.15024999275674575,hgb_f4
capacity_Ah_k1,condition_fold,4,53,-0.004932626311184171,44,40.0,approx_0_100,0.33,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06389928253807359,0.06883190884925776,hgb_f4
capacity_Ah_k1,condition_fold,4,64,-0.08540187671869674,38,40.0,approx_10_90,1.67,cyclic,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0672150268673486,0.15261690358604535,hgb_f4
capacity_Ah_k1,condition_fold,4,69,-0.025324492659600593,84,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.014620271231350826,0.03994476389095142,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,65,0.04761999041369777,55,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.1123825881297979,0.06476259771610013,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,66,0.04737854912319709,84,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0926139126672301,0.04523536354403301,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,67,-0.05258304081504131,15,0.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.17718560597321364,0.22976864678825495,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,68,0.02482377719399729,78,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.07387409807704666,0.04905032088304937,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,69,0.03401135996267271,84,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06195782628011829,0.027946466317445583,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,70,0.010308981588767197,18,10.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.1400542032931488,0.1297452217043816,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,71,0.019409945794535626,84,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.03876988175079682,0.019359935956261193,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,72,0.01755525381536134,84,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.045723501012273945,0.028168247196912605,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,73,-0.07282954913340003,35,25.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.0986136144095919,0.17144316354299194,hgb_f4
capacity_Ah_k1,profile_holdout_fold,1,74,-0.02144533223466201,48,40.0,approx_0_100,0.0,profile,SE3_c_rate_interactions,semi_empirical_capacity_report.json,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,0.06334803239655461,0.08479336463121662,hgb_f4
