aging_mode,event_spread_checkups,median_event_checkup_k,n_reaching_threshold,n_replicates,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,replicate_consistent_within_1_checkup,replicate_consistent_within_2_checkups,threshold_label,voltage_window_family
profile,0,5.0,3,3,0.0,0.0,10.0,70,4,True,True,capacity_below_80pct_initial,approx_0_100
profile,3,24.0,3,3,0.0,0.0,25.0,71,2,False,False,capacity_below_80pct_initial,approx_0_100
profile,1,13.0,3,3,0.0,0.0,25.0,72,3,True,True,capacity_below_80pct_initial,approx_0_100
profile,0,8.0,3,3,0.0,0.0,25.0,73,4,True,True,capacity_below_80pct_initial,approx_0_100
profile,1,10.0,3,3,0.0,0.0,40.0,74,2,True,True,capacity_below_80pct_initial,approx_0_100
profile,1,22.0,3,3,0.0,0.0,40.0,75,3,True,True,capacity_below_80pct_initial,approx_0_100
profile,1,14.0,3,3,0.0,0.0,40.0,76,4,True,True,capacity_below_80pct_initial,approx_0_100
calendar,,,0,3,0.0,0.0,0.0,1,0,False,False,soh_below_60,calendar_soc_10
calendar,,,0,3,0.0,0.0,0.0,2,0,False,False,soh_below_60,calendar_soc_50
calendar,,,0,3,0.0,0.0,0.0,3,0,False,False,soh_below_60,calendar_soc_90
calendar,,,0,3,0.0,0.0,0.0,4,0,False,False,soh_below_60,calendar_soc_100
calendar,,,0,3,0.0,0.0,10.0,5,0,False,False,soh_below_60,calendar_soc_10
calendar,,,0,3,0.0,0.0,10.0,6,0,False,False,soh_below_60,calendar_soc_50
calendar,,,0,3,0.0,0.0,10.0,7,0,False,False,soh_below_60,calendar_soc_90
calendar,,,0,3,0.0,0.0,10.0,8,0,False,False,soh_below_60,calendar_soc_100
calendar,,,0,3,0.0,0.0,25.0,9,0,False,False,soh_below_60,calendar_soc_10
calendar,,,0,3,0.0,0.0,25.0,10,0,False,False,soh_below_60,calendar_soc_50
calendar,,,0,3,0.0,0.0,25.0,11,0,False,False,soh_below_60,calendar_soc_90
calendar,,,0,3,0.0,0.0,25.0,12,0,False,False,soh_below_60,calendar_soc_100
calendar,,,0,3,0.0,0.0,40.0,13,0,False,False,soh_below_60,calendar_soc_10
calendar,,,0,3,0.0,0.0,40.0,14,0,False,False,soh_below_60,calendar_soc_50
calendar,,,0,3,0.0,0.0,40.0,15,0,False,False,soh_below_60,calendar_soc_90
calendar,,,0,3,0.0,0.0,40.0,16,0,False,False,soh_below_60,calendar_soc_100
