run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,voltage_window_holdout_fold,3,capacity_Ah_k1,derived_capacity_from_delta,1326,16,0.16510617699509186,0.1709451458375223,-0.16510617699509186,0.165193581622995,0.17708167981055084,0.20523673809787235
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,c_rate_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,157,12,0.09869224277475643,0.15819451164858786,0.06847781324920052,0.13917991973946248,0.14215780379632775,0.2699677504478344
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,0,capacity_Ah_k1,derived_capacity_from_delta,844,16,0.025739322647378122,0.06414751491371466,-0.004624741672947519,0.04102983252620414,0.0318863168894673,0.1561751322079391
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,1,capacity_Ah_k1,derived_capacity_from_delta,865,15,0.022770415920232465,0.06846764568837141,5.6505831981174785e-05,0.04897923923541793,0.020172705154911638,0.20216254542152237
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,2,capacity_Ah_k1,derived_capacity_from_delta,892,15,0.026763026882420667,0.05905783626611524,-0.013324816720489336,0.04168615442907302,0.029655895649794668,0.11254217143395646
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,3,capacity_Ah_k1,derived_capacity_from_delta,509,15,0.037898328879730485,0.08564214587328768,0.004984620751168845,0.07544262654383507,0.062347827530251365,0.24869269100683847
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,condition_fold,4,capacity_Ah_k1,derived_capacity_from_delta,717,15,0.02461644956981623,0.05392379138014938,-0.006207802894632409,0.05579391553135816,0.04020554018653771,0.1951558223930068
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,temperature_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,742,19,0.028572147212600773,0.07665616691047551,0.010284075374434485,0.06833460150796793,0.05137117528229568,0.266516251337444
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,temperature_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1060,19,0.03513431332777434,0.08344502687348157,-0.0022866227116190023,0.051533737133369395,0.0410834692966946,0.1544540211974757
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,voltage_window_holdout_fold,1,capacity_Ah_k1,derived_capacity_from_delta,1130,28,0.05505850381964212,0.09655911466591761,0.003365092135269083,0.09294630151734284,0.06279406376639504,0.29330408081948367
primary,L2_hist_gradient_boosting,F9_event_segmented_stress,voltage_window_holdout_fold,2,capacity_Ah_k1,derived_capacity_from_delta,1371,32,0.13667208669302888,0.1643076885017917,-0.11615269862334052,0.1636591721655243,0.1744211746578221,0.29580416094006157
