run_scope,model_level,feature_group,split_name,heldout_fold,target,direct_path,derived_path,direct_mae,derived_mae,derived_minus_direct_mae,derived_better,direct_condition_mean_mae,derived_condition_mean_mae,derived_minus_direct_condition_mean_mae
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.06570851883978769,0.06576987956352573,6.136072373803814e-05,False,0.10225409956459348,0.09110199389500429,-0.011152105669589199
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.06576987956352573,0.06570851883978769,-6.136072373803814e-05,True,0.09110199389500429,0.10225409956459348,0.011152105669589199
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.09600855172571758,0.12032397292133809,0.02431542119562051,False,0.12313061110127638,0.13056914238292391,0.007438531281647537
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.12032397292133809,0.09600855172571758,-0.02431542119562051,True,0.13056914238292391,0.12313061110127638,-0.007438531281647537
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.2762884818882768,0.18289344997849058,-0.09339503190978624,True,0.277532397462541,0.18307966968683845,-0.09445272777570254
primary,L2_hist_gradient_boosting,F6_coupled_stress,voltage_window_holdout_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.18289344997849058,0.2762884818882768,0.09339503190978624,False,0.18307966968683845,0.277532397462541,0.09445272777570254
primary,L2_hist_gradient_boosting,F7_c_rate_focused,c_rate_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.11158117589671784,0.11816146372027816,0.006580287823560321,False,0.15123294365951614,0.15992102263431632,0.008688078974800173
primary,L2_hist_gradient_boosting,F7_c_rate_focused,c_rate_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.11816146372027818,0.11158117589671784,-0.006580287823560335,True,0.15992102263431632,0.15123294365951614,-0.008688078974800173
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,0,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.0380312819461605,0.03581554611861752,-0.002215735827542975,True,0.05691560652625147,0.05232342914249044,-0.004592177383761026
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,0,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03581554611861752,0.0380312819461605,0.002215735827542975,False,0.05232342914249044,0.05691560652625147,0.004592177383761026
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.025173581940516183,0.026126950314453255,0.0009533683739370719,False,0.047963038419162704,0.052600676546010486,0.004637638126847782
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.026126950314453255,0.025173581940516183,-0.0009533683739370719,True,0.05260067654601048,0.047963038419162704,-0.004637638126847775
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.02817339258122168,0.022610624145147504,-0.005562768436074176,True,0.045021006215956554,0.0413670147611673,-0.00365399145478925
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.022610624145147497,0.02817339258122168,0.005562768436074183,False,0.041367014761167296,0.045021006215956554,0.003653991454789257
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,3,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04680199556062498,0.03942696436561773,-0.007375031195007251,True,0.09031325257107041,0.07799318745705883,-0.012320065114011583
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,3,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.039426964365617725,0.04680199556062498,0.0073750311950072575,False,0.07799318745705881,0.09031325257107041,0.012320065114011597
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,4,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.033785656245911566,0.03059904603631766,-0.0031866102095939076,True,0.07372444941916449,0.05765383904767255,-0.01607061037149194
primary,L2_hist_gradient_boosting,F7_c_rate_focused,condition_fold,4,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03059904603631766,0.033785656245911566,0.0031866102095939076,False,0.05765383904767254,0.07372444941916449,0.016070610371491954
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.03337123209027086,0.02944244845551245,-0.003928783634758411,True,0.07724824862344466,0.07293400477454562,-0.004314243848899044
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.029442448455512464,0.03337123209027086,0.003928783634758397,False,0.07293400477454563,0.07724824862344466,0.00431424384889903
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,2,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.04150938348416262,0.03368746377691998,-0.007821919707242636,True,0.06374948875162186,0.054709761962161076,-0.00903972678946078
primary,L2_hist_gradient_boosting,F7_c_rate_focused,temperature_holdout_fold,2,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.03368746377691999,0.04150938348416262,0.00782191970724263,False,0.05470976196216109,0.06374948875162186,0.009039726789460766
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,1,capacity_Ah_k1,direct_capacity,derived_capacity_from_delta,0.09648399734221771,0.07612184554960466,-0.020362151792613054,True,0.1343916228008928,0.1008108012445653,-0.03358082155632751
primary,L2_hist_gradient_boosting,F7_c_rate_focused,voltage_window_holdout_fold,1,delta_capacity_Ah,direct_delta,derived_delta_from_capacity,0.07612184554960466,0.09648399734221771,0.020362151792613054,False,0.1008108012445653,0.1343916228008928,0.03358082155632751
