run_scope,model_level,feature_group,split_name,heldout_fold,target,target_path,test_rows,test_parameter_sets,mae,rmse,signed_bias,condition_mean_mae,condition_median_mae,worst_condition_mae
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1371,32,0.07291060985042234,0.11868784693746387,-0.023034055008896985,0.11325476887873324,0.10634621576476008,0.3242175058059155
primary,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,voltage_window_holdout_fold,3,delta_capacity_Ah,derived_delta_from_capacity,1326,16,0.04232896667439578,0.08360807680482718,-0.04182730394954476,0.04294019040047516,0.03505850859698702,0.12892597679189158
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,157,12,0.13469999532578447,0.24007118912945657,0.12849453115598175,0.19559729831178693,0.18061364194084015,0.4024433007561317
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,0,delta_capacity_Ah,derived_delta_from_capacity,844,16,0.027922456915426393,0.06926989607065814,0.004837992882202568,0.04939575572309951,0.035994727645417876,0.1660722514276639
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,1,delta_capacity_Ah,derived_delta_from_capacity,865,15,0.02637020225398916,0.08283058915785166,0.008921707882880856,0.049527449489846026,0.03295754220025763,0.18561871347328238
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,2,delta_capacity_Ah,derived_delta_from_capacity,892,15,0.02227514829888557,0.05702069180937609,0.001227475926344408,0.046501837593014635,0.02932005567395331,0.25119336053502367
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,3,delta_capacity_Ah,derived_delta_from_capacity,509,15,0.049644348516683146,0.13431488712960846,0.029883133675908308,0.10787685967128517,0.104116357459735,0.37599741355529953
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,condition_fold,4,delta_capacity_Ah,derived_delta_from_capacity,717,15,0.03270525474340881,0.09680298552343956,0.003743036244958557,0.08236058631612807,0.037266622237934276,0.30511750546742994
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,1,delta_capacity_Ah,derived_delta_from_capacity,742,19,0.03999346554537276,0.10880768920098553,0.030231631953772747,0.1103767465858074,0.061882496485582916,0.352940910904298
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,temperature_holdout_fold,2,delta_capacity_Ah,derived_delta_from_capacity,1060,19,0.03893955802266403,0.10295122276598424,0.005638953061704916,0.05920818661247636,0.047438667535270894,0.1810087095050517
