diagnostic_family,feature_group,horizon_checkups,mean_condition_mae,mean_mae,mean_rmse,model_level,rows,split_name,target_name,total_test_rows,worst_condition_mae
eis,DH0_time_nominal,5,0.0004652387426194022,0.000399659386916031,0.0006472362413033646,DM2_ridge,12,all,nyquist_im_peak_abs,7771,0.0016641842706007492
eis,DH1_capacity_state,5,0.0004859972208302884,0.0004100181734187152,0.0006562884922865327,DM2_ridge,12,all,nyquist_im_peak_abs,7771,0.0016762179728599055
eis,DH2_prior_same_diagnostic_state,5,0.0003395500774776489,0.00027377514584933947,0.0005345478810117695,DM2_ridge,12,all,nyquist_im_peak_abs,7771,0.001525608052967605
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.00035897471396292087,0.0002912536007775438,0.0005465564139591067,DM2_ridge,12,all,nyquist_im_peak_abs,7771,0.001566172453755886
eis,DH0_time_nominal,5,0.0004979283828419259,0.00043743994979465007,0.0007108241534902793,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,7771,0.001970417612234936
eis,DH1_capacity_state,5,0.0005098210267031241,0.0004427900973300125,0.0007110656738758884,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,7771,0.001583515773842684
eis,DH2_prior_same_diagnostic_state,5,0.0003800072319759332,0.00032901287991811824,0.0006244619310022648,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,7771,0.002306398749258654
eis,DH3_capacity_plus_prior_same_diagnostic,5,0.00037495729943802796,0.00030898324730176764,0.0005978233028406734,DM3_hist_gradient_boosting,12,all,nyquist_im_peak_abs,7771,0.001982160705507754
eis,persistence,1,0.0011051296188655446,0.0006958770695116972,0.0015141501731376764,DM0_persistence,12,all,nyquist_semicircle_width_proxy,10131,0.004830818181818182
eis,train_mean,1,0.002620576978996557,0.002666668658027909,0.003619140676523934,DM1_train_mean,12,all,nyquist_semicircle_width_proxy,10131,0.007344812592010992
eis,DH0_time_nominal,1,0.0019222554302352408,0.001819974975364541,0.002667719597975443,DM2_ridge,12,all,nyquist_semicircle_width_proxy,10131,0.010420177824742746
eis,DH1_capacity_state,1,0.001404244822338836,0.001287657167088833,0.001991259524088244,DM2_ridge,12,all,nyquist_semicircle_width_proxy,10131,0.0068330217071932795
eis,DH2_prior_same_diagnostic_state,1,0.0008605595641760082,0.0006376846292330693,0.00135886314024636,DM2_ridge,12,all,nyquist_semicircle_width_proxy,10131,0.004782130422955325
eis,DH3_capacity_plus_prior_same_diagnostic,1,0.0008130433753862292,0.0005895493730555097,0.0013042422458024378,DM2_ridge,12,all,nyquist_semicircle_width_proxy,10131,0.004940268806830427
eis,DH0_time_nominal,1,0.0018147639729239704,0.001920450744146281,0.0029574643805738775,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,10131,0.00961595332145679
eis,DH1_capacity_state,1,0.0011008303661597261,0.0009915455014537845,0.0018844001945908212,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,10131,0.00457435344359529
eis,DH2_prior_same_diagnostic_state,1,0.0008410672595781402,0.000638800208848774,0.001422573941513226,DM3_hist_gradient_boosting,12,all,nyquist_semicircle_width_proxy,10131,0.004827185995609391
