split_name,target,horizon_checkups,model_level,feature_group,contrast_family,contrast_rows,rank_evaluable_contrasts,spearman_r,kendall_tau_b,status,claim_scope
profile_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,30,30,0.6075639599555063,0.43908045977011495,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,profile,12,12,0.6713286713286714,0.5151515151515151,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,18,18,0.027863777089783277,0.0718954248366013,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,30,30,0.9012235817575085,0.7195402298850575,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,profile,12,12,0.8321678321678322,0.6666666666666666,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,18,18,0.7523219814241485,0.5294117647058824,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,30,30,0.7517241379310347,0.5724137931034483,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,profile,12,12,0.7832167832167832,0.6363636363636364,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,18,18,0.3808049535603715,0.29411764705882354,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,30,30,0.7512791991101225,0.5678160919540229,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.6083916083916084,0.45454545454545453,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,18,18,0.43240454076367385,0.37254901960784315,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,30,30,nan,nan,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,profile,12,12,nan,nan,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,18,18,nan,nan,evaluated,prospective_supported_contrast_diagnostic
profile_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,30,30,0.9799777530589546,0.8988505747126436,evaluated,prospective_supported_contrast_diagnostic
