split_name,target,horizon_checkups,model_level,feature_group,contrast_family,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,mean_effect_abs_error,median_effect_abs_error,observed_tie_rows,predicted_tie_rows,claim_scope
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,temperature,18,7,18,13,0.7222222222222222,0.21714326529359282,0.18316176047111726,0,0,oracle_diagnostic_only
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,voltage_window,9,4,9,9,1.0,0.17603919654381267,0.13693135094002967,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,2874,227,2874,2658,0.9248434237995825,0.06763291353514266,0.013903833333333226,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,charge_c_rate,172,34,172,153,0.8895348837209303,0.18586650290697676,0.07915750000000044,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,profile,164,12,164,154,0.9390243902439024,0.09550388719512196,0.027133999999999547,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,1522,111,1522,1385,0.9099868593955321,0.063277373521682,0.013551000000000313,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,voltage_window,1016,70,1016,966,0.9507874015748031,0.04964286909448818,0.008457000000000381,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,all,2874,227,2874,2667,0.9279749478079332,0.05115056396427742,0.0059196666666667674,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,charge_c_rate,172,34,172,153,0.8895348837209303,0.13816112112403103,0.05085566666666663,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,profile,164,12,164,155,0.9451219512195121,0.06812563719512194,0.02128550000000029,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,temperature,1522,111,1522,1389,0.9126149802890933,0.047141885567236086,0.005096333333333147,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,1016,70,1016,970,0.9547244094488189,0.039685485892388433,0.004098666666666917,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,2874,227,2874,2398,0.8343771746694503,0.07693530747730913,0.03842484832792947,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,charge_c_rate,172,34,172,171,0.9941860465116279,0.1699813607576178,0.13322602118648552,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,profile,164,12,164,151,0.9207317073170732,0.13538207288718462,0.07902637762613174,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,1522,111,1522,1110,0.7293035479632063,0.07766187194125501,0.04318636302768675,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,1016,70,1016,966,0.9507874015748031,0.050660679715932834,0.01619726481613859,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K3_oracle_exposure_diagnostic,all,2874,227,2874,2653,0.9231036882393876,0.05470200695241354,0.01441492903153252,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH2_ridge,K3_oracle_exposure_diagnostic,charge_c_rate,172,34,172,170,0.9883720930232558,0.13721177037202287,0.10680605686880518,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH2_ridge,K3_oracle_exposure_diagnostic,profile,164,12,164,151,0.9207317073170732,0.10391021851361097,0.05891862366200318,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH2_ridge,K3_oracle_exposure_diagnostic,temperature,1522,111,1522,1363,0.8955321944809461,0.04690446637904523,0.01225685220718642,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH2_ridge,K3_oracle_exposure_diagnostic,voltage_window,1016,70,1016,969,0.9537401574803149,0.04447172225601332,0.011443019769459495,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,2874,227,2874,2640,0.918580375782881,0.06129348439666098,0.01665122882837511,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,172,34,172,167,0.9709302325581395,0.16083729748655543,0.11085642827153253,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,profile,164,12,164,149,0.9085365853658537,0.09474127872961308,0.055520038054760024,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,1522,111,1522,1357,0.8915900131406045,0.05488273094902856,0.014374415466080093,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,1016,70,1016,967,0.9517716535433071,0.04864603619314773,0.013430887322637641,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,all,2874,227,2874,2648,0.9213639526791928,0.049115578259883774,0.013684432240860023,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,charge_c_rate,172,34,172,167,0.9709302325581395,0.10823548382392337,0.0667604893678877,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,profile,164,12,164,151,0.9207317073170732,0.0861711561677686,0.053220523703001676,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,temperature,1522,111,1522,1361,0.8942181340341656,0.045230240272065715,0.012953777121203602,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,voltage_window,1016,70,1016,969,0.9537401574803149,0.03894603680668612,0.010356215186925422,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,2647,189,2647,2428,0.9172648281072913,0.07668443395038409,0.019032333333333984,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,charge_c_rate,138,23,138,124,0.8985507246376812,0.20975053140096617,0.10713000000000039,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,profile,152,12,152,140,0.9210526315789473,0.12223709649122808,0.03877966666666666,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,1411,95,1411,1264,0.8958185683912119,0.07293774462556109,0.01859666666666726,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,946,59,946,900,0.9513742071881607,0.05554220613107822,0.011136999999999952,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,2647,189,2647,2424,0.915753683415187,0.06058139673844604,0.009137333333334663,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,charge_c_rate,138,23,138,124,0.8985507246376812,0.1509559371980676,0.05916775000000074,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,profile,152,12,152,142,0.9342105263157895,0.09991863596491223,0.034798333333333265,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,1411,95,1411,1254,0.888731396172927,0.058159583274273584,0.007663333333333355,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,voltage_window,946,59,946,904,0.9556025369978859,0.044689464235377015,0.0067549999999998445,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,2647,189,2647,2197,0.8299962221382697,0.0844892103613068,0.03920268339725386,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,charge_c_rate,138,23,138,138,1.0,0.1608993807197314,0.11991694575070322,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,profile,152,12,152,137,0.9013157894736842,0.1939471444654525,0.09494429280497241,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,1411,95,1411,1028,0.7285613040396882,0.08755514754395749,0.045091867193170376,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,946,59,946,894,0.945031712473573,0.05118239550082805,0.018166289079504905,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,all,2647,189,2647,2418,0.9134869663770306,0.060593276027671505,0.02212322162802982,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,charge_c_rate,138,23,138,137,0.9927536231884058,0.1390527057159119,0.11423839476867192,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,profile,152,12,152,137,0.9013157894736842,0.13063816227473518,0.07812771676313801,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,temperature,1411,95,1411,1260,0.892983699503898,0.055370779672763965,0.02013093832888746,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH2_ridge,K3_oracle_exposure_diagnostic,voltage_window,946,59,946,884,0.9344608879492601,0.04568283030911302,0.0189615965633676,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,2647,189,2647,2404,0.9081979599546657,0.06884500141047688,0.020482804587381054,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,138,23,138,135,0.9782608695652174,0.1663593514112219,0.13014555919268045,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,profile,152,12,152,136,0.8947368421052632,0.14560414896882704,0.09828395837193549,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,1411,95,1411,1225,0.8681785967399008,0.06337187497234083,0.018171409274914563,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,946,59,946,908,0.959830866807611,0.050449875274364744,0.016426266465070838,0,0,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,all,2647,189,2645,2450,0.9262759924385633,0.0504964052653453,0.0156283897061944,0,2,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,charge_c_rate,138,23,138,138,1.0,0.09665643412147837,0.06534822941109675,0,0,oracle_diagnostic_only
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K3_oracle_exposure_diagnostic,profile,152,12,152,137,0.9013157894736842,0.10096468997027774,0.06399646685138194,0,0,oracle_diagnostic_only
