split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
temperature_holdout_fold,capacity_Ah_kh,2,voltage_window,medium_0.02_to_0.05Ah,123,17,0.959349593495935,0.9512195121951219,0.008130081300813052,0.017285826536158944,0.008353065040650382,-0.008932761495508562,118,117,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,voltage_window,small_0.01_to_0.02Ah,8,5,0.875,0.625,0.25,0.008203757252669475,0.011749083333333132,0.0035453260806636577,7,5,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,2,voltage_window,tiny_lt_0.01Ah,38,4,0.8421052631578947,0.868421052631579,-0.026315789473684292,0.007259687430388126,0.0026011228070173913,-0.004658564623370735,32,33,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,all,large_ge_0.05Ah,575,60,0.9826086956521739,0.9547826086956521,0.02782608695652178,0.10493710955770359,0.09149536608695652,-0.013441743470747072,565,549,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,all,medium_0.02_to_0.05Ah,161,29,0.9440993788819876,0.9130434782608695,0.03105590062111807,0.025070500238590226,0.016718077639751507,-0.00835242259883872,152,147,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,all,small_0.01_to_0.02Ah,12,7,0.5,0.6666666666666666,-0.16666666666666663,0.02193692577662032,0.018370666666666386,-0.0035662591099539336,6,8,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,all,tiny_lt_0.01Ah,45,6,0.7954545454545454,0.8222222222222222,-0.026767676767676774,0.028810494217698195,0.010355496296296174,-0.01845499792140202,35,37,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,charge_c_rate,large_ge_0.05Ah,70,12,1.0,0.9142857142857143,0.08571428571428574,0.1685886257689199,0.14190169047619042,-0.026686935292729475,70,64,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,charge_c_rate,medium_0.02_to_0.05Ah,6,4,1.0,0.3333333333333333,0.6666666666666667,0.0634261974065083,0.0285384999999998,-0.0348876974065085,6,2,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,profile,large_ge_0.05Ah,62,6,0.9516129032258065,0.967741935483871,-0.016129032258064502,0.20198750335065205,0.1285535,-0.07343400335065206,59,60,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,profile,medium_0.02_to_0.05Ah,8,4,0.875,0.875,0.0,0.08542318203511762,0.036494458333333535,-0.04892872370178408,7,7,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,profile,tiny_lt_0.01Ah,6,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.15712948949216443,0.016821166666666738,-0.14030832282549768,2,4,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,temperature,large_ge_0.05Ah,160,15,0.9875,0.9625,0.025000000000000022,0.08886126611733422,0.08701750520833332,-0.0018437609090009022,158,154,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,temperature,medium_0.02_to_0.05Ah,34,8,0.8235294117647058,0.8823529411764706,-0.05882352941176472,0.03821571232471232,0.02775038235294116,-0.010465329971771159,28,30,prospective_supported_contrast_diagnostic
temperature_holdout_fold,capacity_Ah_kh,3,temperature,small_0.01_to_0.02Ah,7,4,0.42857142857142855,0.7142857142857143,-0.28571428571428575,0.02969845968830352,0.021660857142856798,-0.00803760254544672,3,5,prospective_supported_contrast_diagnostic
