method_id,split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,reference_label,candidate_condition_mae,reference_condition_mae,condition_mae_gain,relative_degradation,row_count,quality_flagged_rows,severe_qa_flag_rows,monotonicity_unclean_rows,support_score,low_support_flag,failure_role
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,39,cyclic,10.0,approx_10_90,1.0,1.0,0,F4_direct_capacity,0.14617903804510213,0.14383259446553537,-0.0023464435795667593,0.016313712397985045,21,21,7,7,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,35,cyclic,10.0,approx_10_100,1.0,1.0,0,F4_direct_capacity,0.14868092267621244,0.1486047750854324,-7.614759078003464e-05,0.0005124168502409,11,11,2,2,,,hotspot
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,44,cyclic,25.0,approx_0_100,1.67,1.0,0,F4_direct_capacity,0.16345527395479076,0.16578239004351839,0.0023271160887276265,-0.01403717299597835,6,6,1,1,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,59,cyclic,40.0,approx_10_100,1.0,1.0,0,F4_direct_capacity,0.14078909959030833,0.14537424542566804,0.004585145835359711,-0.03154028983561715,19,19,4,4,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,22,cyclic,0.0,approx_10_100,0.33,1.0,0,F4_direct_capacity,0.13085744704179805,0.13516301737038255,0.0043055703285845015,-0.03185464790850367,22,22,5,5,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,66,profile,0.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.0638695662394474,0.06703049045548659,0.003160924216039196,-0.04715651332043129,84,84,27,27,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,73,profile,25.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.0925275960031091,0.09754719498663922,0.005019598983530119,-0.05145815811738759,35,34,18,18,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,33,cyclic,10.0,approx_10_100,0.33,0.33,0,F4_direct_capacity,0.0328830388689399,0.03555771903309399,0.002674680164154085,-0.07522080259604753,67,67,8,8,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,68,profile,10.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.07468363019127959,0.0847095711478386,0.01002594095655901,-0.11835664873171567,78,78,26,26,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,57,cyclic,40.0,approx_10_100,0.33,0.33,0,F4_direct_capacity,0.08026904445140197,0.09179657127440101,0.01152752682299904,-0.12557687790473807,36,36,11,11,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,43,cyclic,25.0,approx_0_100,1.0,1.0,0,F4_direct_capacity,0.11099225926523527,0.12898124494573607,0.017988985680500794,-0.13946977863385465,12,12,7,7,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,21,cyclic,0.0,approx_10_100,0.33,0.33,0,F4_direct_capacity,0.03892590176445373,0.047189208664185606,0.008263306899731877,-0.17511009685575293,43,43,6,6,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,56,cyclic,40.0,approx_0_100,1.67,1.0,0,F4_direct_capacity,0.08142946886741152,0.10020434269722937,0.01877487382981785,-0.1873658698260886,13,13,3,3,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,18,cyclic,0.0,approx_0_100,0.33,1.0,0,F4_direct_capacity,0.08643318587040927,0.10728264727834189,0.020849461407932618,-0.19434141435603525,17,17,7,7,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,F4_direct_capacity,0.21051340315929623,0.26476443443333425,0.05425103127403802,-0.20490301648765455,6,6,1,1,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,24,cyclic,0.0,approx_10_100,1.67,1.0,0,F4_direct_capacity,0.034533567751148464,0.04426119822044017,0.009727630469291704,-0.21977783838665732,4,4,1,1,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,28,cyclic,0.0,approx_10_90,1.67,1.0,0,F4_direct_capacity,0.11971275057180614,0.1803557049228468,0.06064295435104067,-0.3362408434875,9,9,3,3,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,65,profile,0.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.08824613732440842,0.14900858847549814,0.06076245115108972,-0.4077781809273433,55,55,18,18,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,36,cyclic,10.0,approx_10_100,1.67,1.0,0,F4_direct_capacity,0.20727416620472705,0.3603624225203877,0.15308825631566064,-0.4248174802604442,6,6,1,1,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,2,23,cyclic,0.0,approx_10_100,1.0,1.0,0,F4_direct_capacity,0.18079082159773432,0.31797597846625986,0.13718515686852553,-0.4314324545213472,6,6,2,2,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,30,cyclic,10.0,approx_0_100,0.33,1.0,0,F4_direct_capacity,0.057054978202427706,0.10612665013859456,0.04907167193616685,-0.4623878344608297,25,25,5,5,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,53,cyclic,40.0,approx_0_100,0.33,0.33,0,F4_direct_capacity,0.0606867504271092,0.12028182886531495,0.05959507843820575,-0.4954620244836573,44,44,7,7,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,55,cyclic,40.0,approx_0_100,1.0,1.0,0,F4_direct_capacity,0.050529252523714124,0.10683402364016463,0.056304771116450505,-0.5270303335770135,22,22,6,6,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,17,cyclic,0.0,approx_0_100,0.33,0.33,0,F4_direct_capacity,0.06427547599168507,0.14554393595716683,0.08126845996548177,-0.5583775059470623,24,24,6,6,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,29,cyclic,10.0,approx_0_100,0.33,0.33,0,F4_direct_capacity,0.055811297391324,0.1538540771641681,0.0980427797728441,-0.6372452493945205,40,40,9,9,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,42,cyclic,25.0,approx_0_100,0.33,1.0,0,F4_direct_capacity,0.03883813424618905,0.11896153132660203,0.08012339708041298,-0.6735235852036807,49,49,7,7,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,41,cyclic,25.0,approx_0_100,0.33,0.33,0,F4_direct_capacity,0.03460745455911498,0.11055009738411606,0.07594264282500107,-0.6869522924175423,56,56,9,9,,,offsetting_or_neutral
adaptive_R2_F8_conservative,voltage_window_holdout_fold,1,54,cyclic,40.0,approx_0_100,0.33,1.0,0,F4_direct_capacity,0.03196340789045925,0.10881041479208699,0.07684700690162774,-0.7062467967654166,46,46,7,7,,,offsetting_or_neutral
