target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
delta_pulse_1s_resistance,condition_fold,4,23,0.00027195356481653265,6,0.0,approx_10_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0031468850356577882,0.0028749314708412556
delta_pulse_1s_resistance,condition_fold,4,38,0.0001433198012368499,59,10.0,approx_10_90,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.001041570014537087,0.000898250213300237
delta_pulse_1s_resistance,condition_fold,4,40,-0.00045691271455699134,13,10.0,approx_10_90,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0008639682585233263,0.0013208809730803177
delta_pulse_1s_resistance,condition_fold,4,44,-0.000266114847560944,5,25.0,approx_0_100,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0016338142087877472,0.0018999290563486912
delta_pulse_1s_resistance,condition_fold,4,45,-7.072600951910785e-05,84,25.0,approx_10_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005906514837281084,0.0006613774932472163
delta_pulse_1s_resistance,condition_fold,4,47,-8.681710858081892e-05,30,25.0,approx_10_100,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0016439694013356792,0.0017307865099164981
delta_pulse_1s_resistance,condition_fold,4,51,-6.545552723271188e-05,60,25.0,approx_10_90,1.0,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.00047976254558352194,0.0005452180728162338
delta_pulse_1s_resistance,condition_fold,4,52,-0.00015151014991368551,26,25.0,approx_10_90,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0009699139804727767,0.0011214241303864622
delta_pulse_1s_resistance,condition_fold,4,53,8.503047480726186e-05,41,40.0,approx_0_100,0.33,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0005726588325584673,0.0004876283577512055
delta_pulse_1s_resistance,condition_fold,4,64,-0.0004450434937894748,35,40.0,approx_10_90,1.67,cyclic,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0007762584677297741,0.001221301961519249
delta_pulse_1s_resistance,condition_fold,4,69,-2.604838862460849e-06,84,10.0,approx_0_100,0.0,profile,P_E3_stress_eis,pulse_with_prior_eis_hgb50_report.json,P5_stress_v1_1,pulse_resistance_l0_l3_report.json,0.0006221747847447031,0.000624779623607164
delta_pulse_1s_resistance,profile_holdout_fold,1,65,1.0676050372464925e-05,53,0.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0011178367481928758,0.0011071606978204109
delta_pulse_1s_resistance,profile_holdout_fold,1,66,-0.00013277698707742157,83,0.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.001071057994885256,0.0012038349819626776
delta_pulse_1s_resistance,profile_holdout_fold,1,67,6.668062507858086e-05,12,0.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.002780866022284322,0.002714185397205741
delta_pulse_1s_resistance,profile_holdout_fold,1,68,-2.7377734373551857e-05,75,10.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0005463209943519864,0.0005736987287255382
delta_pulse_1s_resistance,profile_holdout_fold,1,69,6.011395348443462e-05,84,10.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0006952644597437653,0.0006351505062593307
delta_pulse_1s_resistance,profile_holdout_fold,1,70,1.1607066848884351e-05,16,10.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0013500719874525743,0.00133846492060369
delta_pulse_1s_resistance,profile_holdout_fold,1,71,0.00014844108707440273,84,25.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0007096980367579155,0.0005612569496835128
delta_pulse_1s_resistance,profile_holdout_fold,1,72,3.3636526899650295e-05,84,25.0,approx_0_100,0.0,profile,P_E1_nominal_eis,pulse_with_prior_eis_hgb50_report.json,P3_state_nominal,pulse_resistance_l0_l3_report.json,0.0006827911779839919,0.0006491546510843416
