bin,bin_left,bin_right,calibration_method,label_policy,mean_probability,observed_rate,positive_count,row_count,split_name,target
8,0.8,0.9,C2_isotonic,all_rows,0.8571428571428571,1.0,9,9,temperature_holdout_fold,event_within_1_checkup
9,0.9,1.0,C2_isotonic,all_rows,0.9968488948866939,0.8648648648648649,32,37,temperature_holdout_fold,event_within_1_checkup
0,0.0,0.1,C2_isotonic,all_rows,0.0022523675578894117,0.0087595365922577,31,3539,voltage_window_holdout_fold,event_within_1_checkup
1,0.1,0.2,C2_isotonic,all_rows,0.11872629591936262,0.10638297872340426,5,47,voltage_window_holdout_fold,event_within_1_checkup
2,0.2,0.3,C2_isotonic,all_rows,0.2503902105018261,0.3717948717948718,29,78,voltage_window_holdout_fold,event_within_1_checkup
3,0.3,0.4,C2_isotonic,all_rows,0.33900353166457853,0.75,6,8,voltage_window_holdout_fold,event_within_1_checkup
4,0.4,0.5,C2_isotonic,all_rows,0.4578216881004114,0.5,3,6,voltage_window_holdout_fold,event_within_1_checkup
5,0.5,0.6,C2_isotonic,all_rows,0.5339590558790955,0.625,5,8,voltage_window_holdout_fold,event_within_1_checkup
6,0.6,0.7,C2_isotonic,all_rows,0.6643062372345947,0.7692307692307693,10,13,voltage_window_holdout_fold,event_within_1_checkup
7,0.7,0.8,C2_isotonic,all_rows,0.729204365210049,0.32653061224489793,16,49,voltage_window_holdout_fold,event_within_1_checkup
8,0.8,0.9,C2_isotonic,all_rows,0.8716185072643151,0.75,24,32,voltage_window_holdout_fold,event_within_1_checkup
9,0.9,1.0,C2_isotonic,all_rows,0.9943466416869806,0.9361702127659575,44,47,voltage_window_holdout_fold,event_within_1_checkup
0,0.0,0.1,C0_raw_hgb_w2,verified_only,0.003573695008658419,0.075,9,120,c_rate_holdout_fold,event_within_1_checkup
1,0.1,0.2,C0_raw_hgb_w2,verified_only,0.1259328468805818,1.0,2,2,c_rate_holdout_fold,event_within_1_checkup
