epoch,train_loss,val_loss,target,split_name,heldout_fold,model_level
33,0.013388135298890503,0.039724551141262054,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
34,0.012172804434636706,0.044792719185352325,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
35,0.012449935617807665,0.03463757783174515,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
36,0.013611980064428951,0.04200032353401184,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
37,0.010834208971477653,0.030210120603442192,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
38,0.012432507766214641,0.04546814039349556,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
39,0.013460275361706553,0.03522660955786705,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
40,0.012465093627964196,0.035135459154844284,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
41,0.01327977966713278,0.027532683685421944,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
42,0.013035249467448969,0.03283219039440155,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
43,0.011633535240482735,0.03272188827395439,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
44,0.011445552355756885,0.034446269273757935,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
45,0.011753146077114108,0.035879310220479965,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
46,0.011499046041679225,0.033600784838199615,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
47,0.012278444709648428,0.03488822281360626,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
48,0.01080893763757654,0.03087153472006321,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
49,0.011588905263986243,0.03507091477513313,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
50,0.010626401550038472,0.02706439606845379,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
51,0.011610858534511766,0.039271894842386246,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
52,0.011492335507156034,0.046084389090538025,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
53,0.011107525089755654,0.0478832870721817,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
54,0.01105540718785242,0.037344612181186676,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
55,0.012410324299708009,0.04011832922697067,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
56,0.012259035855286607,0.03707050904631615,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
57,0.01081659725720161,0.04203076288104057,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
58,0.011344402256470761,0.03622337430715561,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
59,0.009212501264348822,0.03994390740990639,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
60,0.010550822229369691,0.04023637995123863,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
61,0.010395427381521776,0.04255472868680954,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
62,0.010673583270736822,0.053316108882427216,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
63,0.009560356896958853,0.0650578960776329,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
64,0.01027758816551221,0.05339238420128822,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
65,0.01020864734891802,0.05442057549953461,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
66,0.01131753545058401,0.03992519900202751,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
67,0.009735781503351111,0.042838819324970245,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
68,0.010305120009242705,0.03685864806175232,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
69,0.010459883383622295,0.05262187495827675,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
70,0.010288042886378733,0.04679077863693237,capacity_Ah_k1,condition_fold,0,NS4_tcn_true_sequence
1,0.17051738059442295,0.19953033328056335,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
2,0.14164391954086328,0.20888425409793854,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
3,0.11742831114679575,0.14576613903045654,delta_capacity_Ah,condition_fold,0,NS4_tcn_true_sequence
